origin,destination,weight
0,1,83
0,2,62
0,5,2
0,9,6
0,19,97
0,30,70
0,34,67
1,3,87
1,6,93
1,12,65
1,13,91
1,17,19
1,18,50
1,19,75
1,20,14
1,23,7
1,25,93
1,28,8
1,35,6
2,8,75
2,9,21
2,11,86
2,14,3
2,38,34
2,39,40
3,4,21
3,11,92
3,14,15
3,16,4
3,19,27
3,24,58
3,27,70
3,30,28
3,31,72
3,33,68
3,39,60
4,3,58
4,6,11
4,8,57
4,9,81
4,10,30
4,13,68
4,15,42
4,16,75
4,25,54
4,27,2
4,34,68
4,35,74
4,36,50
5,1,44
5,3,68
5,9,63
5,16,55
5,19,26
5,20,81
5,29,97
5,30,61
5,34,16
5,37,45
5,38,56
5,39,29
6,2,38
6,5,52
6,9,62
6,13,70
6,14,32
6,16,30
6,17,60
6,22,57
6,23,27
6,27,3
6,30,63
6,36,38
6,38,12
7,1,33
7,4,100
7,8,68
7,14,98
7,19,80
7,20,38
7,21,5
7,22,64
7,23,76
7,25,99
7,26,50
7,27,44
7,28,9
7,30,11
7,31,87
7,32,71
7,33,73
7,36,2
8,1,99
8,3,32
8,5,45
8,9,36
8,10,70
8,15,49
8,16,5
8,25,31
8,28,77
8,30,8
8,38,95
8,39,61
9,0,82
9,4,83
9,11,28
9,21,62
9,22,33
9,24,42
9,28,22
9,30,41
9,31,42
9,32,5
9,36,86
10,6,69
10,9,98
10,12,11
10,13,9
10,16,61
10,18,19
10,23,59
10,31,53
10,32,36
11,0,34
11,4,35
11,5,83
11,8,58
11,14,96
11,15,25
11,19,34
11,30,98
11,31,95
11,33,35
11,35,6
11,36,53
12,0,10
12,1,44
12,3,45
12,4,44
12,6,2
12,7,31
12,8,1
12,13,77
12,15,67
12,24,29
12,25,8
12,27,29
12,29,33
12,30,84
12,34,46
12,36,1
13,8,40
13,9,71
13,15,64
13,19,9
13,23,8
13,25,98
13,27,11
13,39,28
14,1,3
14,2,15
14,4,35
14,10,27
14,18,49
14,20,92
14,22,82
14,23,25
14,33,34
14,35,51
15,1,38
15,4,27
15,6,20
15,10,74
15,16,19
15,18,90
15,22,88
15,26,62
15,31,38
15,35,23
16,0,69
16,4,26
16,6,14
16,8,24
16,9,52
16,11,37
16,18,12
16,20,51
16,21,78
16,26,51
16,32,20
16,33,78
16,36,40
16,38,94
16,39,81
17,3,99
17,6,16
17,9,70
17,27,62
17,30,98
17,31,66
17,35,11
18,1,52
18,2,38
18,3,65
18,6,62
18,7,61
18,9,39
18,12,76
18,15,7
18,24,23
18,29,23
18,31,39
18,32,44
18,33,84
18,37,37
18,39,36
19,0,16
19,1,90
19,5,26
19,17,7
19,18,96
19,22,5
19,25,19
19,29,60
19,35,67
19,36,59
19,37,51
20,3,49
20,4,90
20,6,74
20,12,1
20,14,27
20,17,90
20,23,75
20,24,29
20,26,51
20,30,50
21,6,27
21,8,40
21,10,28
21,12,31
21,14,21
21,17,79
21,23,80
21,24,8
